group,persona,travel_time,routed_distance,CO2e
0,0,2773.2916666666665,11836.64985047143,0.48994657719447104
0,1,4191.702898550725,21404.17053129809,1.9907101754134047
0,2,3147.932743362832,15177.865629484151,1.6248999502646704
0,3,4247.507462686567,18702.99419081122,1.665817421298655
0,4,3932.0658307210033,19667.070368751753,1.9485583210155637
0,5,4024.440860215054,16136.28006979051,0.6118608136270709
0,6,4291.789389067524,21807.343457980045,2.3190848574034812
0,7,2834.7730061349694,12884.6231339037,0.6975471781961807
0,8,4109.365853658536,18625.556363339067,1.339577998304797
0,9,3996.490322580645,18135.159428867883,1.0880058891189033
0,10,3467.5474860335194,14415.579156586531,1.1517552645596112
0,11,4495.592493297587,21311.487252133167,2.2209812095904717
0,12,4178.096590909091,21992.88339099049,2.2767173123284685
0,13,3707.241573033708,16766.20410767793,1.0004438161368086
0,14,3446.541176470588,17351.549784988445,0.8185690550044914
0,15,3044.279475982533,13207.20222438968,1.0362200577157956
1,0,2826.655737704918,13312.481464099981,0.34297999583144384
1,1,4555.854892205639,21246.38154193846,1.193121380738491
1,2,3502.251724137931,15240.882752326195,0.9934410854889189
1,3,4516.619318181818,20577.108066430166,1.0869665852009016
1,4,4482.383344803854,21071.89131375288,1.2721377045817746
1,5,3478.824769433465,15288.891595907828,0.37489377693025316
1,6,4762.141120117907,22540.040669908478,1.4631356502774304
1,7,3054.7649700598804,12750.236846227408,0.4042932283033159
1,8,4607.662133891214,19972.153211012243,0.90072255124709
1,9,4357.234567901234,20282.19288504786,0.6816087478605154
1,10,3782.373601789709,16741.260029577978,0.8785248801590507
1,11,4748.914438502674,21692.656730456074,1.3751431841699502
1,12,4405.86171574904,22242.377469173985,1.381263211769116
1,13,3939.152046783626,17796.406626341875,0.5823346431834029
1,14,3837.6794258373207,17215.222645934005,0.4757533051350639
1,15,3245.7277777777776,13200.61159470567,0.6389143233817306
2,0,2567.291723202171,11567.658504306153,0.3114575506240563
2,1,4212.135882831571,19526.494447100988,1.0624672072164825
2,2,3348.597854077253,14632.045735225445,0.966237780526042
2,3,4150.9386942675155,18853.568933966802,1.0186547484954396
2,4,4281.508891928865,19793.00096003185,1.1987059400976698
2,5,3036.3,13086.598546924075,0.3285417090507633
2,6,4504.584429824561,21280.271647257996,1.39433523323291
2,7,2811.5022091310752,11754.551553702153,0.3838273543060846
2,8,4277.129763130793,18018.063498620508,0.827863065233634
2,9,3909.082332761578,18149.715684806328,0.6090252167362992
2,10,3698.3141592920356,15827.294139495132,0.8259435913717148
2,11,4430.713947990544,20070.215413034282,1.2640259506250089
2,12,4150.109137055838,20752.894272905145,1.2873296829016108
2,13,3517.2155172413795,15562.554251064825,0.5038655279828955
2,14,3503.1438679245284,15189.338454012954,0.45700995074481127
2,15,3065.2135655362054,12424.69632274135,0.6085171685239005
